# according to Williams+2008 #source http://svo2.cab.inta-csic.es/theory/fps/index.php
Microns, Transmission
1.1304 0.00000000
1.1306 0.00000000
1.1308 0.00044548
1.1310 0.00044496
1.1312 0.00033742
1.1314 0.00021497
1.1316 0.00019988
1.1318 9.221e-05
1.1320 0.00019963
1.1322 0.00066001
1.1324 0.00030714
1.1326 0.00043002
1.1328 0.00112149
1.1330 0.00100042
1.1332 0.00064727
1.1334 0.00018489
1.1336 9.244e-05
1.1338 9.242e-05
1.1340 9.25e-05
1.1342 9.252e-05
1.1344 0.00064709
1.1346 0.00098721
1.1348 0.00089455
1.1350 0.0008009
1.1352 0.00055425
1.1354 0.00121564
1.1356 0.00099979
1.1358 0.00039986
1.1360 0.00124435
1.1362 0.0016889
1.1364 0.00155178
1.1366 0.00145995
1.1368 0.00142802
1.1370 0.00153457
1.1372 0.00095195
1.1374 0.00083028
1.1376 0.00155293
1.1378 0.00178295
1.1380 0.00098365
1.1382 0.0005379
1.1384 0.00120036
1.1386 0.00143089
1.1388 0.00189022
1.1390 0.00189226
1.1392 0.00175763
1.1394 0.001633
1.1396 0.00130956
1.1398 0.00120175
1.1400 0.00118488
1.1402 0.0017552
1.1404 0.00207758
1.1406 0.00185999
1.1408 0.0011845
1.1410 0.00207602
1.1412 0.00285808
1.1414 0.00264291
1.1416 0.00285604
1.1418 0.00318968
1.1420 0.00329636
1.1422 0.00271569
1.1424 0.00250271
1.1426 0.00272202
1.1428 0.00247374
1.1430 0.0029479
1.1432 0.00327311
1.1434 0.00316357
1.1436 0.00362026
1.1438 0.00406488
1.1440 0.00395081
1.1442 0.00383214
1.1444 0.00476042
1.1446 0.00441045
1.1448 0.00414832
1.1450 0.0048386
1.1452 0.00496451
1.1454 0.0050558
1.1456 0.0059621
1.1458 0.00616731
1.1460 0.00559765
1.1462 0.00616102
1.1464 0.00625539
1.1466 0.00634462
1.1468 0.0064612
1.1470 0.00714657
1.1472 0.00814734
1.1474 0.00813243
1.1476 0.00858651
1.1478 0.00879297
1.1480 0.00855456
1.1482 0.00944953
1.1484 0.0100089
1.1486 0.0100366
1.1488 0.0103737
1.1490 0.0106697
1.1492 0.0112411
1.1494 0.011212
1.1496 0.0117504
1.1498 0.0131844
1.1500 0.01342
1.1502 0.0134104
1.1504 0.0144195
1.1506 0.0153222
1.1508 0.0156643
1.1510 0.0162456
1.1512 0.0170341
1.1514 0.0175617
1.1516 0.0180553
1.1518 0.0187389
1.1520 0.0196864
1.1522 0.0206654
1.1524 0.0212152
1.1526 0.0217003
1.1528 0.02357
1.1530 0.0247003
1.1532 0.0250186
1.1534 0.0257018
1.1536 0.0266059
1.1538 0.0282252
1.1540 0.0295612
1.1542 0.0308294
1.1544 0.0323054
1.1546 0.0336956
1.1548 0.0350907
1.1550 0.0360007
1.1552 0.0373061
1.1554 0.0394917
1.1556 0.0409398
1.1558 0.0421708
1.1560 0.044117
1.1562 0.0460787
1.1564 0.0478204
1.1566 0.0497364
1.1568 0.0523972
1.1570 0.0546208
1.1572 0.0566471
1.1574 0.0594113
1.1576 0.0620834
1.1578 0.0658918
1.1580 0.0687127
1.1582 0.0711182
1.1584 0.0751343
1.1586 0.0776362
1.1588 0.0808897
1.1590 0.085807
1.1592 0.0889883
1.1594 0.0927834
1.1596 0.0983743
1.1598 0.102811
1.1600 0.107165
1.1602 0.113473
1.1604 0.118683
1.1606 0.123147
1.1608 0.130165
1.1610 0.136527
1.1612 0.14193
1.1614 0.150202
1.1616 0.157794
1.1618 0.165266
1.1620 0.174978
1.1622 0.182515
1.1624 0.19054
1.1626 0.200925
1.1628 0.210394
1.1630 0.21963
1.1632 0.230656
1.1634 0.241692
1.1636 0.254804
1.1638 0.268726
1.1640 0.280951
1.1642 0.293732
1.1644 0.306815
1.1646 0.323266
1.1648 0.338124
1.1650 0.354057
1.1652 0.372375
1.1654 0.386052
1.1656 0.4042
1.1658 0.42126
1.1660 0.437186
1.1662 0.45798
1.1664 0.473209
1.1666 0.490555
1.1668 0.510926
1.1670 0.530948
1.1672 0.551418
1.1674 0.567954
1.1676 0.587747
1.1678 0.605254
1.1680 0.620486
1.1682 0.639837
1.1684 0.655371
1.1686 0.67237
1.1688 0.692703
1.1690 0.706343
1.1692 0.718613
1.1694 0.73191
1.1696 0.743513
1.1698 0.755702
1.1700 0.766848
1.1702 0.776602
1.1704 0.787031
1.1706 0.796401
1.1708 0.80457
1.1710 0.809894
1.1712 0.812978
1.1714 0.816357
1.1716 0.82087
1.1718 0.825682
1.1720 0.828245
1.1722 0.829974
1.1724 0.831301
1.1726 0.831955
1.1728 0.83136
1.1730 0.832028
1.1732 0.831691
1.1734 0.830248
1.1736 0.829586
1.1738 0.828771
1.1740 0.827101
1.1742 0.825071
1.1744 0.821628
1.1746 0.818939
1.1748 0.819408
1.1750 0.817037
1.1752 0.814276
1.1754 0.813231
1.1756 0.810057
1.1758 0.806574
1.1760 0.804713
1.1762 0.802651
1.1764 0.801727
1.1766 0.799866
1.1768 0.796568
1.1770 0.794974
1.1772 0.794249
1.1774 0.79256
1.1776 0.789977
1.1778 0.790171
1.1780 0.789868
1.1782 0.78842
1.1784 0.788196
1.1786 0.787391
1.1788 0.786348
1.1790 0.786008
1.1792 0.785177
1.1794 0.784135
1.1796 0.785985
1.1798 0.787348
1.1800 0.787526
1.1802 0.788289
1.1804 0.787971
1.1806 0.787141
1.1808 0.788165
1.1810 0.789307
1.1812 0.789083
1.1814 0.790595
1.1816 0.791765
1.1818 0.791515
1.1820 0.792675
1.1822 0.793223
1.1824 0.793451
1.1826 0.79607
1.1828 0.797933
1.1830 0.799014
1.1832 0.801538
1.1834 0.802409
1.1836 0.801924
1.1838 0.801405
1.1840 0.801806
1.1842 0.801596
1.1844 0.803105
1.1846 0.806271
1.1848 0.807932
1.1850 0.808015
1.1852 0.808172
1.1854 0.80938
1.1856 0.809854
1.1858 0.811786
1.1860 0.812629
1.1862 0.813423
1.1864 0.816356
1.1866 0.816118
1.1868 0.813539
1.1870 0.81528
1.1872 0.817636
1.1874 0.818511
1.1876 0.820743
1.1878 0.820521
1.1880 0.819332
1.1882 0.821205
1.1884 0.820146
1.1886 0.817429
1.1888 0.819171
1.1890 0.820204
1.1892 0.819929
1.1894 0.821845
1.1896 0.8224
1.1898 0.820584
1.1900 0.820751
1.1902 0.820615
1.1904 0.819069
1.1906 0.819464
1.1908 0.820742
1.1910 0.820968
1.1912 0.820667
1.1914 0.820029
1.1916 0.819092
1.1918 0.819013
1.1920 0.818549
1.1922 0.817939
1.1924 0.820375
1.1926 0.820751
1.1928 0.818032
1.1930 0.817586
1.1932 0.818466
1.1934 0.817395
1.1936 0.818101
1.1938 0.818933
1.1940 0.817862
1.1942 0.81829
1.1944 0.818723
1.1946 0.817337
1.1948 0.81808
1.1950 0.819381
1.1952 0.818327
1.1954 0.818231
1.1956 0.819652
1.1958 0.821515
1.1960 0.821748
1.1962 0.82243
1.1964 0.820881
1.1966 0.820256
1.1968 0.822119
1.1970 0.822875
1.1972 0.823472
1.1974 0.825257
1.1976 0.825514
1.1978 0.824039
1.1980 0.826067
1.1982 0.827111
1.1984 0.826843
1.1986 0.8287
1.1988 0.830149
1.1990 0.830873
1.1992 0.833409
1.1994 0.833997
1.1996 0.833111
1.1998 0.835315
1.2000 0.836008
1.2002 0.836882
1.2004 0.840233
1.2006 0.84082
1.2008 0.840472
1.2010 0.84303
1.2012 0.84419
1.2014 0.843891
1.2016 0.846345
1.2018 0.848825
1.2020 0.849893
1.2022 0.852287
1.2024 0.852636
1.2026 0.852026
1.2028 0.856132
1.2030 0.857392
1.2032 0.856555
1.2034 0.860778
1.2036 0.862338
1.2038 0.859949
1.2040 0.861308
1.2042 0.864118
1.2044 0.864163
1.2046 0.865613
1.2048 0.867831
1.2050 0.868038
1.2052 0.87019
1.2054 0.871647
1.2056 0.869529
1.2058 0.872056
1.2060 0.875283
1.2062 0.873113
1.2064 0.873787
1.2066 0.87673
1.2068 0.877119
1.2070 0.875672
1.2072 0.875736
1.2074 0.876703
1.2076 0.877726
1.2078 0.877975
1.2080 0.877328
1.2082 0.877206
1.2084 0.878009
1.2086 0.877927
1.2088 0.876833
1.2090 0.878426
1.2092 0.879375
1.2094 0.878844
1.2096 0.878915
1.2098 0.878498
1.2100 0.876465
1.2102 0.876396
1.2104 0.875412
1.2106 0.873495
1.2108 0.875034
1.2110 0.874296
1.2112 0.870992
1.2114 0.871589
1.2116 0.871163
1.2118 0.86836
1.2120 0.869746
1.2122 0.869336
1.2124 0.865943
1.2126 0.866126
1.2128 0.864262
1.2130 0.860283
1.2132 0.860149
1.2134 0.860091
1.2136 0.858275
1.2138 0.858459
1.2140 0.857394
1.2142 0.854107
1.2144 0.852464
1.2146 0.852223
1.2148 0.850078
1.2150 0.849831
1.2152 0.850654
1.2154 0.848021
1.2156 0.846976
1.2158 0.845688
1.2160 0.842149
1.2162 0.840481
1.2164 0.840966
1.2166 0.840079
1.2168 0.839474
1.2170 0.837945
1.2172 0.835428
1.2174 0.833924
1.2176 0.833174
1.2178 0.832157
1.2180 0.832233
1.2182 0.830375
1.2184 0.827777
1.2186 0.829249
1.2188 0.828246
1.2190 0.824525
1.2192 0.823141
1.2194 0.824536
1.2196 0.824458
1.2198 0.824606
1.2200 0.824782
1.2202 0.822712
1.2204 0.821649
1.2206 0.821137
1.2208 0.821203
1.2210 0.820925
1.2212 0.820921
1.2214 0.820652
1.2216 0.82058
1.2218 0.82023
1.2220 0.818945
1.2222 0.817584
1.2224 0.818325
1.2226 0.819715
1.2228 0.820139
1.2230 0.819315
1.2232 0.817283
1.2234 0.816442
1.2236 0.818628
1.2238 0.820426
1.2240 0.818601
1.2242 0.819792
1.2244 0.820461
1.2246 0.819217
1.2248 0.820551
1.2250 0.821314
1.2252 0.821196
1.2254 0.822973
1.2256 0.824072
1.2258 0.824361
1.2260 0.827149
1.2262 0.826832
1.2264 0.824184
1.2266 0.825961
1.2268 0.827802
1.2270 0.828267
1.2272 0.830016
1.2274 0.830984
1.2276 0.829976
1.2278 0.831583
1.2280 0.830586
1.2282 0.829136
1.2284 0.832325
1.2286 0.834436
1.2288 0.8356
1.2290 0.836554
1.2292 0.836152
1.2294 0.83512
1.2296 0.836958
1.2298 0.839103
1.2300 0.839915
1.2302 0.842315
1.2304 0.844236
1.2306 0.842566
1.2308 0.842493
1.2310 0.843191
1.2312 0.842605
1.2314 0.845349
1.2316 0.847487
1.2318 0.847494
1.2320 0.849393
1.2322 0.850563
1.2324 0.849701
1.2326 0.849972
1.2328 0.851159
1.2330 0.852737
1.2332 0.854548
1.2334 0.85609
1.2336 0.855978
1.2338 0.855998
1.2340 0.857691
1.2342 0.856888
1.2344 0.856091
1.2346 0.858794
1.2348 0.860023
1.2350 0.859756
1.2352 0.861226
1.2354 0.85941
1.2356 0.856762
1.2358 0.860469
1.2360 0.862613
1.2362 0.859895
1.2364 0.86295
1.2366 0.865415
1.2368 0.862143
1.2370 0.862862
1.2372 0.862581
1.2374 0.86078
1.2376 0.863302
1.2378 0.864518
1.2380 0.863105
1.2382 0.864947
1.2384 0.86476
1.2386 0.860972
1.2388 0.862592
1.2390 0.863319
1.2392 0.862064
1.2394 0.864771
1.2396 0.866315
1.2398 0.864446
1.2400 0.864806
1.2402 0.863707
1.2404 0.861821
1.2406 0.864606
1.2408 0.865303
1.2410 0.863114
1.2412 0.864071
1.2414 0.864513
1.2416 0.862063
1.2418 0.86083
1.2420 0.861986
1.2422 0.863135
1.2424 0.863223
1.2426 0.862601
1.2428 0.861209
1.2430 0.861291
1.2432 0.861143
1.2434 0.859248
1.2436 0.858927
1.2438 0.860641
1.2440 0.86077
1.2442 0.860938
1.2444 0.861757
1.2446 0.8599
1.2448 0.857359
1.2450 0.857692
1.2452 0.859022
1.2454 0.859868
1.2456 0.860407
1.2458 0.860469
1.2460 0.859811
1.2462 0.859293
1.2464 0.859722
1.2466 0.858766
1.2468 0.860427
1.2470 0.862642
1.2472 0.860257
1.2474 0.860269
1.2476 0.859852
1.2478 0.85831
1.2480 0.860027
1.2482 0.860492
1.2484 0.859553
1.2486 0.860203
1.2488 0.860686
1.2490 0.85951
1.2492 0.861157
1.2494 0.862204
1.2496 0.859591
1.2498 0.861183
1.2500 0.862864
1.2502 0.860551
1.2504 0.862041
1.2506 0.863471
1.2508 0.862243
1.2510 0.863627
1.2512 0.864007
1.2514 0.863505
1.2516 0.865657
1.2518 0.866214
1.2520 0.864365
1.2522 0.865352
1.2524 0.866628
1.2526 0.867738
1.2528 0.868992
1.2530 0.870599
1.2532 0.870805
1.2534 0.870985
1.2536 0.871631
1.2538 0.869816
1.2540 0.871381
1.2542 0.872885
1.2544 0.872369
1.2546 0.873469
1.2548 0.875334
1.2550 0.876367
1.2552 0.876707
1.2554 0.877869
1.2556 0.878807
1.2558 0.877804
1.2560 0.877643
1.2562 0.878939
1.2564 0.880232
1.2566 0.881718
1.2568 0.881453
1.2570 0.881932
1.2572 0.883488
1.2574 0.883662
1.2576 0.88495
1.2578 0.887448
1.2580 0.888862
1.2582 0.888037
1.2584 0.88906
1.2586 0.891111
1.2588 0.89149
1.2590 0.892228
1.2592 0.8931
1.2594 0.893973
1.2596 0.896638
1.2598 0.897296
1.2600 0.89545
1.2602 0.896147
1.2604 0.897849
1.2606 0.897979
1.2608 0.899818
1.2610 0.902117
1.2612 0.900817
1.2614 0.902031
1.2616 0.903761
1.2618 0.901933
1.2620 0.904219
1.2622 0.90555
1.2624 0.904303
1.2626 0.908339
1.2628 0.909042
1.2630 0.906015
1.2632 0.909004
1.2634 0.910467
1.2636 0.908781
1.2638 0.911251
1.2640 0.913265
1.2642 0.912894
1.2644 0.914652
1.2646 0.915259
1.2648 0.912805
1.2650 0.914747
1.2652 0.916168
1.2654 0.91575
1.2656 0.918711
1.2658 0.920357
1.2660 0.917933
1.2662 0.918273
1.2664 0.919155
1.2666 0.918485
1.2668 0.919645
1.2670 0.920933
1.2672 0.921093
1.2674 0.921814
1.2676 0.923304
1.2678 0.923075
1.2680 0.923092
1.2682 0.924487
1.2684 0.92482
1.2686 0.924506
1.2688 0.92621
1.2690 0.926741
1.2692 0.927857
1.2694 0.927943
1.2696 0.926199
1.2698 0.92669
1.2700 0.928012
1.2702 0.928298
1.2704 0.927583
1.2706 0.928059
1.2708 0.929593
1.2710 0.92958
1.2712 0.929553
1.2714 0.930157
1.2716 0.929916
1.2718 0.930905
1.2720 0.932258
1.2722 0.931635
1.2724 0.932747
1.2726 0.933012
1.2728 0.929655
1.2730 0.929506
1.2732 0.93098
1.2734 0.930129
1.2736 0.932734
1.2738 0.935175
1.2740 0.932868
1.2742 0.932227
1.2744 0.931858
1.2746 0.929698
1.2748 0.930715
1.2750 0.933133
1.2752 0.931992
1.2754 0.932475
1.2756 0.931791
1.2758 0.928244
1.2760 0.929434
1.2762 0.929309
1.2764 0.927386
1.2766 0.92918
1.2768 0.930352
1.2770 0.929768
1.2772 0.9312
1.2774 0.930125
1.2776 0.927161
1.2778 0.928066
1.2780 0.928482
1.2782 0.927737
1.2784 0.929458
1.2786 0.928902
1.2788 0.925669
1.2790 0.925638
1.2792 0.925511
1.2794 0.924538
1.2796 0.92498
1.2798 0.925857
1.2800 0.925579
1.2802 0.923972
1.2804 0.921048
1.2806 0.919671
1.2808 0.920183
1.2810 0.921005
1.2812 0.921307
1.2814 0.920872
1.2816 0.920178
1.2818 0.917231
1.2820 0.914722
1.2822 0.914257
1.2824 0.913936
1.2826 0.915288
1.2828 0.915752
1.2830 0.914252
1.2832 0.913603
1.2834 0.911598
1.2836 0.910111
1.2838 0.911025
1.2840 0.911399
1.2842 0.911427
1.2844 0.910296
1.2846 0.908355
1.2848 0.907117
1.2850 0.905015
1.2852 0.903453
1.2854 0.904261
1.2856 0.905812
1.2858 0.905643
1.2860 0.903189
1.2862 0.900626
1.2864 0.900065
1.2866 0.898295
1.2868 0.897884
